entity,example,intent,norm
MIDISK,미디 스커트,MATCH-DOWN-TYPE-WITH,미디 스커트
MIDISK,미디 치마,MATCH-DOWN-TYPE-WITH,미디 스커트
MIDISK,기본기장 스커트,MATCH-DOWN-TYPE-WITH,미디 스커트
MIDISK,기본기장 치마,MATCH-DOWN-TYPE-WITH,미디 스커트
MINISK,숏 스커트,MATCH-DOWN-TYPE-WITH,미디 스커트
MINISK,숏 치마,MATCH-DOWN-TYPE-WITH,미디 스커트
MINISK,미니 스커트,MATCH-DOWN-TYPE-WITH,미디 스커트
MINISK,미니 치마,MATCH-DOWN-TYPE-WITH,미디 스커트
MINISK,테니스스커트,MATCH-DOWN-TYPE-WITH,미디 스커트
MINISK,테니스치마,MATCH-DOWN-TYPE-WITH,미디 스커트
MINISK,테치,MATCH-DOWN-TYPE-WITH,미디 스커트
SKIRT,스커트,MATCH-DOWN-TYPE-WITH,스커트
SKIRT,치마,MATCH-DOWN-TYPE-WITH,스커트
MAXIOP,롱 원피스,MATCH-DOWN-TYPE-WITH,롱 원피스
MAXIOP,맥시 원피스,MATCH-DOWN-TYPE-WITH,롱 원피스
MIDIOP,미디 원피스,MATCH-DOWN-TYPE-WITH,미디 원피스
MIDIOP,기본 기장 원피스,MATCH-DOWN-TYPE-WITH,미디 원피스
MINIOP,숏 원피스,MATCH-DOWN-TYPE-WITH,숏 원피스
MINIOP,미니 원피스,MATCH-DOWN-TYPE-WITH,숏 원피스
ONEPIECE,원피스,MATCH-DOWN-TYPE-WITH,원피스
JUMPSUIT,점프슈트,MATCH-DOWN-TYPE-WITH,점프슈트
JUMPSUIT,점프수트,MATCH-DOWN-TYPE-WITH,점프슈트
JUMPSUIT,오버올,MATCH-DOWN-TYPE-WITH,점프슈트
LEGGINGS,레깅스,MATCH-DOWN-TYPE-WITH,레깅스
LEGGINGS,래깅스,MATCH-DOWN-TYPE-WITH,레깅스
JOGGERPT,조거 팬츠,MATCH-DOWN-TYPE-WITH,조거 팬츠
JOGGERPT,조거 바지,MATCH-DOWN-TYPE-WITH,조거 팬츠
JOGGERPT,조깅 팬츠,MATCH-DOWN-TYPE-WITH,조거 팬츠
JOGGERPT,조깅 바지,MATCH-DOWN-TYPE-WITH,조거 팬츠
JOGGERPT,배기 팬츠,MATCH-DOWN-TYPE-WITH,조거 팬츠
JOGGERPT,배기 바지,MATCH-DOWN-TYPE-WITH,조거 팬츠
JOGGERPT,베기 팬츠,MATCH-DOWN-TYPE-WITH,조거 팬츠
JOGGERPT,베기 바지,MATCH-DOWN-TYPE-WITH,조거 팬츠
COTTONPT,코튼 팬츠,MATCH-DOWN-TYPE-WITH,코튼 팬츠
COTTONPT,코튼 바지,MATCH-DOWN-TYPE-WITH,코튼 팬츠
COTTONPT,면 팬츠,MATCH-DOWN-TYPE-WITH,코튼 팬츠
COTTONPT,면 바지,MATCH-DOWN-TYPE-WITH,코튼 팬츠
DENIMPT,데님 팬츠,MATCH-DOWN-TYPE-WITH,데님 팬츠
DENIMPT,데님 바지,MATCH-DOWN-TYPE-WITH,데님 팬츠
DENIMPT,청 팬츠,MATCH-DOWN-TYPE-WITH,데님 팬츠
DENIMPT,청 바지,MATCH-DOWN-TYPE-WITH,데님 팬츠
DENIMPT,진 팬츠,MATCH-DOWN-TYPE-WITH,데님 팬츠
DENIMPT,진 바지,MATCH-DOWN-TYPE-WITH,데님 팬츠
DENIMPT,스키니,MATCH-DOWN-TYPE-WITH,데님 팬츠
DENIMPT,스키니 진,MATCH-DOWN-TYPE-WITH,데님 팬츠
DENIMPT,스키니 팬츠,MATCH-DOWN-TYPE-WITH,데님 팬츠
DENIMPT,스키니 바지,MATCH-DOWN-TYPE-WITH,데님 팬츠
SHORTS,반바지,MATCH-DOWN-TYPE-WITH,반바지
SHORTS,쇼츠,MATCH-DOWN-TYPE-WITH,반바지
SHORTS,하프쇼츠,MATCH-DOWN-TYPE-WITH,반바지
SLACKS,슬랙스,MATCH-DOWN-TYPE-WITH,슬랙스
SLACKS,슬렉스,MATCH-DOWN-TYPE-WITH,슬랙스
SLACKS,정장바지,MATCH-DOWN-TYPE-WITH,슬랙스
PANTS,팬츠,MATCH-DOWN-TYPE-WITH,팬츠
PANTS,바지,MATCH-DOWN-TYPE-WITH,팬츠
BOOTS,레인부츠,ACCESSORY-TYPE-WITH,부츠
BOOTS,헌팅부츠,ACCESSORY-TYPE-WITH,부츠
BOOTS,부츠,ACCESSORY-TYPE-WITH,부츠
BOOTS,첼시부츠,ACCESSORY-TYPE-WITH,부츠
BOOTS,앵클부츠,ACCESSORY-TYPE-WITH,부츠
BOOTS,롱부츠,ACCESSORY-TYPE-WITH,부츠
